open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2026-01-09 18:00:00,91422.23,91507.82,91243.01,91283.29,72.48026,1767982499999,6622935.09150970,35593,35.26462000,3222549.19141230,0
2026-01-09 18:15:00,91283.28,91283.28,90588.06,90603.53,190.53511,1767983399999,17311865.70870760,71218,71.88452000,6526491.79928130,0
2026-01-09 18:30:00,90603.53,90865.35,90340.0,90812.99,221.5357,1767984299999,20067303.88294240,82106,115.71272000,10484271.68719470,0
2026-01-09 18:45:00,90812.99,90954.52,90666.45,90820.31,66.59308,1767985199999,6049011.12612300,35054,29.39758000,2670811.39185690,0
2026-01-09 19:00:00,90820.3,90820.3,90523.47,90552.0,148.15864,1767986099999,13433318.30988030,46741,58.51696000,5303796.05042150,0
2026-01-09 19:15:00,90552.01,90579.99,90300.0,90328.34,177.65667,1767986999999,16061332.48887050,54491,73.85007000,6675935.85308410,0
2026-01-09 19:30:00,90328.34,90477.25,90190.0,90343.59,139.07503,1767987899999,12561909.16189800,53681,66.00973000,5963934.55183850,0
2026-01-09 19:45:00,90343.59,90622.85,90332.15,90332.15,113.68837,1767988799999,10284309.64517310,47094,36.96152000,3344713.18604720,0
2026-01-09 20:00:00,90332.14,90453.4,90235.5,90404.42,85.55653,1767989699999,7729746.42585980,55859,45.57171000,4117259.64912490,0
2026-01-09 20:15:00,90404.43,90568.86,90355.33,90472.86,61.56056,1767990599999,5569307.80013330,42151,30.69905000,2777261.60398990,0
2026-01-09 20:30:00,90472.87,90580.62,90263.68,90263.69,55.85877,1767991499999,5053627.38235630,43134,16.83981000,1523604.42871850,0
2026-01-09 20:45:00,90263.68,90402.21,90235.0,90303.36,110.34082,1767992399999,9966361.66504160,42055,67.83697000,6127017.97392240,0
2026-01-09 21:00:00,90303.37,90427.62,90113.87,90362.04,73.06345,1767993299999,6596862.67624330,37586,33.33497000,3010598.00237860,0
2026-01-09 21:15:00,90362.04,90643.81,90315.87,90562.62,73.86828,1767994199999,6686474.42483100,22946,49.94587000,4521379.38398940,0
2026-01-09 21:30:00,90562.63,90628.51,90422.3,90447.37,36.90468,1767995099999,3340279.47263880,25958,19.50197000,1765069.82609600,0
2026-01-09 21:45:00,90447.37,90577.68,90426.22,90541.97,23.21476,1767995999999,2100641.44710410,11712,12.98809000,1175270.58948080,0
2026-01-09 22:00:00,90541.98,90571.24,90353.91,90392.52,35.58252,1767996899999,3220092.20982500,18665,13.61350000,1232031.53626150,0
2026-01-09 22:15:00,90392.53,90625.92,90361.7,90603.52,275.22877,1767997799999,24909440.87816930,25313,241.62473000,21868906.32401080,0
2026-01-09 22:30:00,90603.52,90723.06,90552.99,90552.99,230.6153,1767998699999,20903900.21705000,22663,193.26957000,17519024.28097740,0
2026-01-09 22:45:00,90553.0,90679.81,90552.99,90630.08,34.09519,1767999599999,3089713.57194450,14810,21.62698000,1959670.78286710,0
2026-01-09 23:00:00,90630.08,90708.06,90607.75,90708.05,48.37131,1768000499999,4385841.67115570,12071,35.62248000,3229937.87334150,0
2026-01-09 23:15:00,90708.06,90732.01,90676.24,90721.0,57.5415,1768001399999,5219389.52478420,6705,20.41462000,1851719.63217450,0
2026-01-09 23:30:00,90721.01,90729.45,90648.46,90684.22,65.65227,1768002299999,5954114.92727540,10656,22.00410000,1995562.32332810,0
2026-01-09 23:45:00,90684.23,90706.13,90604.58,90641.28,12.22534,1768003199999,1108285.04006620,7534,3.50588000,317795.20109860,0
2026-01-10 00:00:00,90641.27,90693.89,90580.61,90580.61,50.81041,1768004099999,4605930.11306780,8324,20.94250000,1898333.19256270,0
2026-01-10 00:15:00,90580.61,90621.43,90527.99,90621.43,40.8177,1768004999999,3696381.51754230,11835,21.45634000,1943046.09806190,0
2026-01-10 00:30:00,90621.43,90659.49,90603.52,90605.48,36.06758,1768005899999,3269151.61716330,7788,15.77601000,1429919.06611190,0
2026-01-10 00:45:00,90605.48,90608.62,90545.55,90600.0,23.51947,1768006799999,2130439.12577690,9273,7.75682000,702622.70945560,0
2026-01-10 01:00:00,90600.0,90647.79,90587.0,90647.78,21.96123,1768007699999,1990077.86252730,8008,10.73002000,972365.65330470,0
2026-01-10 01:15:00,90647.78,90697.84,90608.75,90666.43,37.03827,1768008599999,3357719.68923700,10108,13.21587000,1198095.39506920,0
2026-01-10 01:30:00,90666.43,90728.79,90666.42,90724.55,28.97931,1768009499999,2628323.56981230,8780,13.36063000,1211894.40114330,0
2026-01-10 01:45:00,90724.54,90732.2,90660.06,90688.0,25.20485,1768010399999,2286151.37772680,7995,12.79126000,1160181.15939490,0
2026-01-10 02:00:00,90688.0,90739.62,90688.0,90739.61,21.41173,1768011299999,1942601.51575140,7599,10.53414000,955730.16388480,0
2026-01-10 02:15:00,90739.62,90782.23,90713.46,90782.16,50.82691,1768012199999,4612198.50075580,11526,32.43493000,2943383.52706280,0
2026-01-10 02:30:00,90782.14,90782.14,90607.02,90607.02,45.55855,1768013099999,4131432.00614310,9068,4.68000000,424456.20471050,0
2026-01-10 02:45:00,90607.03,90697.18,90607.02,90697.17,21.90335,1768013999999,1985680.48405650,7492,13.50581000,1224414.05881850,0
2026-01-10 03:00:00,90697.17,90697.18,90554.26,90576.01,37.26116,1768014899999,3376089.41141260,11395,11.55644000,1046942.43036860,0
2026-01-10 03:15:00,90576.02,90631.56,90576.01,90631.55,21.61243,1768015799999,1958417.58071600,4936,11.55659000,1047148.14541740,0
2026-01-10 03:30:00,90631.56,90652.45,90594.0,90594.0,39.83057,1768016699999,3609927.49768980,7190,14.55933000,1319486.88455500,0
2026-01-10 03:45:00,90594.0,90649.51,90580.61,90626.14,26.18616,1768017599999,2372634.23952310,8064,15.99443000,1449181.02181290,0
2026-01-10 04:00:00,90626.15,90649.99,90519.99,90533.43,40.98521,1768018499999,3711674.14645180,12967,12.15292000,1100605.08363570,0
2026-01-10 04:15:00,90533.42,90560.04,90512.34,90525.5,21.17732,1768019399999,1917115.46213490,5503,11.72774000,1061658.14652620,0
2026-01-10 04:30:00,90525.5,90540.3,90470.44,90508.48,39.06667,1768020299999,3535698.02283850,7941,12.14549000,1099171.25187250,0
2026-01-10 04:45:00,90508.48,90515.68,90408.23,90448.3,63.64404,1768021199999,5758025.27535250,13008,26.94953000,2438263.03411820,0
2026-01-10 05:00:00,90448.3,90532.18,90431.45,90532.17,26.16982,1768022099999,2367701.13322310,9865,14.36387000,1299601.27328320,0
2026-01-10 05:15:00,90532.18,90569.15,90532.18,90568.63,17.96654,1768022999999,1626846.85531310,4865,12.70379000,1150317.19638980,0
2026-01-10 05:30:00,90568.63,90617.62,90533.45,90609.41,25.59894,1768023899999,2318638.84578090,6842,13.84447000,1254000.45812420,0
2026-01-10 05:45:00,90609.42,90610.0,90600.0,90603.52,14.67551,1768024799999,1329691.91238370,3714,6.80462000,616536.16348080,0
2026-01-10 06:00:00,90603.52,90603.53,90580.0,90580.0,10.0566,1768025699999,911041.19049360,3788,3.06329000,277494.25195540,0
2026-01-10 06:15:00,90580.01,90580.01,90474.35,90526.45,33.14952,1768026599999,3000115.16211200,9944,11.42329000,1033883.00821740,0
2026-01-10 06:30:00,90526.46,90555.5,90510.37,90540.81,12.64771,1768027499999,1145048.59288460,7077,5.19867000,470637.63746960,0
2026-01-10 06:45:00,90540.8,90543.07,90503.65,90505.47,18.30501,1768028399999,1657039.17244780,6318,4.09110000,370354.72060330,0
2026-01-10 07:00:00,90505.48,90635.18,90505.47,90606.63,39.65531,1768029299999,3591833.72225270,11496,23.85226000,2160340.31694190,0
2026-01-10 07:15:00,90606.64,90606.67,90565.6,90606.67,19.03658,1768030199999,1724320.70384460,6715,8.17119000,740139.41086040,0
2026-01-10 07:30:00,90606.66,90682.7,90603.83,90612.26,41.76264,1768031099999,3785264.13389070,11742,15.23864000,1381203.42349750,0
2026-01-10 07:45:00,90612.25,90680.85,90612.25,90678.5,67.72906,1768031999999,6139724.32967360,7106,55.76114000,5054777.38419670,0
